"pf"	"scenario"
"41"	"Parameters bottom-up 1033 10_06_2020 18_04.txt"	"bottom-up"
"42"	"Parameters bottom-up 1034 10_06_2020 18_04.txt"	"bottom-up"
"43"	"Parameters bottom-up 1035 10_06_2020 18_04.txt"	"bottom-up"
"44"	"Parameters bottom-up 1036 10_06_2020 18_04.txt"	"bottom-up"
"45"	"Parameters bottom-up 1037 10_06_2020 18_04.txt"	"bottom-up"
"46"	"Parameters bottom-up 1038 10_06_2020 18_04.txt"	"bottom-up"
"47"	"Parameters bottom-up 1039 10_06_2020 18_04.txt"	"bottom-up"
"48"	"Parameters bottom-up 104 10_06_2020 18_00.txt"	"bottom-up"
"49"	"Parameters bottom-up 1040 10_06_2020 18_04.txt"	"bottom-up"
"50"	"Parameters bottom-up 1041 10_06_2020 18_04.txt"	"bottom-up"
"51"	"Parameters bottom-up 1042 10_06_2020 18_04.txt"	"bottom-up"
"52"	"Parameters bottom-up 1043 10_06_2020 18_04.txt"	"bottom-up"
"53"	"Parameters bottom-up 1044 10_06_2020 18_04.txt"	"bottom-up"
"54"	"Parameters bottom-up 1045 10_06_2020 18_04.txt"	"bottom-up"
"55"	"Parameters bottom-up 1046 10_06_2020 18_04.txt"	"bottom-up"
"56"	"Parameters bottom-up 1047 10_06_2020 18_04.txt"	"bottom-up"
"57"	"Parameters bottom-up 1048 10_06_2020 18_04.txt"	"bottom-up"
"58"	"Parameters bottom-up 1049 10_06_2020 18_04.txt"	"bottom-up"
"59"	"Parameters bottom-up 105 10_06_2020 18_00.txt"	"bottom-up"
"60"	"Parameters bottom-up 1050 10_06_2020 18_04.txt"	"bottom-up"
"61"	"Parameters bottom-up 1051 10_06_2020 18_04.txt"	"bottom-up"
"62"	"Parameters bottom-up 1052 10_06_2020 18_04.txt"	"bottom-up"
"63"	"Parameters bottom-up 1053 10_06_2020 18_04.txt"	"bottom-up"
"64"	"Parameters bottom-up 1054 10_06_2020 18_04.txt"	"bottom-up"
"65"	"Parameters bottom-up 1055 10_06_2020 18_04.txt"	"bottom-up"
"66"	"Parameters bottom-up 1056 10_06_2020 18_04.txt"	"bottom-up"
"67"	"Parameters bottom-up 1057 10_06_2020 18_04.txt"	"bottom-up"
"68"	"Parameters bottom-up 1058 10_06_2020 18_04.txt"	"bottom-up"
"69"	"Parameters bottom-up 1059 10_06_2020 18_04.txt"	"bottom-up"
"70"	"Parameters bottom-up 106 10_06_2020 18_00.txt"	"bottom-up"
"71"	"Parameters bottom-up 1060 10_06_2020 18_04.txt"	"bottom-up"
"72"	"Parameters bottom-up 1061 10_06_2020 18_04.txt"	"bottom-up"
"73"	"Parameters bottom-up 1062 10_06_2020 18_04.txt"	"bottom-up"
"74"	"Parameters bottom-up 1063 10_06_2020 18_04.txt"	"bottom-up"
"75"	"Parameters bottom-up 1064 10_06_2020 18_04.txt"	"bottom-up"
"76"	"Parameters bottom-up 1065 10_06_2020 18_04.txt"	"bottom-up"
"77"	"Parameters bottom-up 1066 10_06_2020 18_04.txt"	"bottom-up"
"78"	"Parameters bottom-up 1067 10_06_2020 18_04.txt"	"bottom-up"
"79"	"Parameters bottom-up 1068 10_06_2020 18_04.txt"	"bottom-up"
"80"	"Parameters bottom-up 1069 10_06_2020 18_04.txt"	"bottom-up"
"81"	"Parameters bottom-up 107 10_06_2020 18_00.txt"	"bottom-up"
"82"	"Parameters bottom-up 1070 10_06_2020 18_04.txt"	"bottom-up"
"83"	"Parameters bottom-up 1071 10_06_2020 18_04.txt"	"bottom-up"
"84"	"Parameters bottom-up 1072 10_06_2020 18_04.txt"	"bottom-up"
"85"	"Parameters bottom-up 1073 10_06_2020 18_04.txt"	"bottom-up"
"86"	"Parameters bottom-up 1074 10_06_2020 18_04.txt"	"bottom-up"
"87"	"Parameters bottom-up 1075 10_06_2020 18_04.txt"	"bottom-up"
"88"	"Parameters bottom-up 1076 10_06_2020 18_04.txt"	"bottom-up"
"89"	"Parameters bottom-up 1077 10_06_2020 18_04.txt"	"bottom-up"
"90"	"Parameters bottom-up 1078 10_06_2020 18_04.txt"	"bottom-up"
"91"	"Parameters bottom-up 1079 10_06_2020 18_04.txt"	"bottom-up"
"92"	"Parameters bottom-up 108 10_06_2020 18_00.txt"	"bottom-up"
"93"	"Parameters bottom-up 1080 10_06_2020 18_04.txt"	"bottom-up"
"94"	"Parameters bottom-up 1081 10_06_2020 18_04.txt"	"bottom-up"
"95"	"Parameters bottom-up 1082 10_06_2020 18_04.txt"	"bottom-up"
"96"	"Parameters bottom-up 1083 10_06_2020 18_04.txt"	"bottom-up"
"97"	"Parameters bottom-up 1084 10_06_2020 18_04.txt"	"bottom-up"
"98"	"Parameters bottom-up 1085 10_06_2020 18_04.txt"	"bottom-up"
"99"	"Parameters bottom-up 1086 10_06_2020 18_04.txt"	"bottom-up"
"100"	"Parameters bottom-up 1087 10_06_2020 18_04.txt"	"bottom-up"
"101"	"Parameters bottom-up 1088 10_06_2020 18_04.txt"	"bottom-up"
"102"	"Parameters bottom-up 1089 10_06_2020 18_05.txt"	"bottom-up"
"103"	"Parameters bottom-up 109 10_06_2020 18_00.txt"	"bottom-up"
"104"	"Parameters bottom-up 1090 10_06_2020 18_05.txt"	"bottom-up"
"105"	"Parameters bottom-up 1091 10_06_2020 18_05.txt"	"bottom-up"
"106"	"Parameters bottom-up 1092 10_06_2020 18_05.txt"	"bottom-up"
"107"	"Parameters bottom-up 1093 10_06_2020 18_05.txt"	"bottom-up"
"108"	"Parameters bottom-up 1094 10_06_2020 18_05.txt"	"bottom-up"
"109"	"Parameters bottom-up 1095 10_06_2020 18_05.txt"	"bottom-up"
"110"	"Parameters bottom-up 1096 10_06_2020 18_05.txt"	"bottom-up"
"111"	"Parameters bottom-up 1097 10_06_2020 18_05.txt"	"bottom-up"
"112"	"Parameters bottom-up 1098 10_06_2020 18_05.txt"	"bottom-up"
"113"	"Parameters bottom-up 1099 10_06_2020 18_05.txt"	"bottom-up"
"114"	"Parameters bottom-up 11 10_06_2020 17_59.txt"	"bottom-up"
"115"	"Parameters bottom-up 110 10_06_2020 18_00.txt"	"bottom-up"
"116"	"Parameters bottom-up 1100 10_06_2020 18_05.txt"	"bottom-up"
"117"	"Parameters bottom-up 1101 10_06_2020 18_05.txt"	"bottom-up"
"118"	"Parameters bottom-up 1102 10_06_2020 18_05.txt"	"bottom-up"
"119"	"Parameters bottom-up 1103 10_06_2020 18_05.txt"	"bottom-up"
"120"	"Parameters bottom-up 1104 10_06_2020 18_05.txt"	"bottom-up"
"121"	"Parameters bottom-up 1105 10_06_2020 18_05.txt"	"bottom-up"
"122"	"Parameters bottom-up 1106 10_06_2020 18_05.txt"	"bottom-up"
"123"	"Parameters bottom-up 1107 10_06_2020 18_05.txt"	"bottom-up"
"124"	"Parameters bottom-up 1108 10_06_2020 18_05.txt"	"bottom-up"
"125"	"Parameters bottom-up 1109 10_06_2020 18_05.txt"	"bottom-up"
"126"	"Parameters bottom-up 111 10_06_2020 18_00.txt"	"bottom-up"
"127"	"Parameters bottom-up 1110 10_06_2020 18_05.txt"	"bottom-up"
"128"	"Parameters bottom-up 1111 10_06_2020 18_05.txt"	"bottom-up"
"129"	"Parameters bottom-up 1112 10_06_2020 18_05.txt"	"bottom-up"
"130"	"Parameters bottom-up 1113 10_06_2020 18_05.txt"	"bottom-up"
"131"	"Parameters bottom-up 1114 10_06_2020 18_05.txt"	"bottom-up"
"132"	"Parameters bottom-up 1115 10_06_2020 18_05.txt"	"bottom-up"
"133"	"Parameters bottom-up 1116 10_06_2020 18_05.txt"	"bottom-up"
"134"	"Parameters bottom-up 1117 10_06_2020 18_05.txt"	"bottom-up"
"135"	"Parameters bottom-up 1118 10_06_2020 18_05.txt"	"bottom-up"
"136"	"Parameters bottom-up 1119 10_06_2020 18_05.txt"	"bottom-up"
"137"	"Parameters bottom-up 112 10_06_2020 18_00.txt"	"bottom-up"
"138"	"Parameters bottom-up 1120 10_06_2020 18_05.txt"	"bottom-up"
"139"	"Parameters bottom-up 1121 10_06_2020 18_05.txt"	"bottom-up"
"140"	"Parameters bottom-up 1122 10_06_2020 18_05.txt"	"bottom-up"
"141"	"Parameters bottom-up 1123 10_06_2020 18_05.txt"	"bottom-up"
"142"	"Parameters bottom-up 1124 10_06_2020 18_05.txt"	"bottom-up"
"143"	"Parameters bottom-up 1125 10_06_2020 18_05.txt"	"bottom-up"
"144"	"Parameters bottom-up 1126 10_06_2020 18_05.txt"	"bottom-up"
"145"	"Parameters bottom-up 1127 10_06_2020 18_05.txt"	"bottom-up"
"146"	"Parameters bottom-up 1128 10_06_2020 18_05.txt"	"bottom-up"
"147"	"Parameters bottom-up 1129 10_06_2020 18_05.txt"	"bottom-up"
"148"	"Parameters bottom-up 113 10_06_2020 18_00.txt"	"bottom-up"
"149"	"Parameters bottom-up 1130 10_06_2020 18_05.txt"	"bottom-up"
"150"	"Parameters bottom-up 1131 10_06_2020 18_05.txt"	"bottom-up"
"151"	"Parameters bottom-up 1132 10_06_2020 18_05.txt"	"bottom-up"
"152"	"Parameters bottom-up 1133 10_06_2020 18_05.txt"	"bottom-up"
"153"	"Parameters bottom-up 1134 10_06_2020 18_05.txt"	"bottom-up"
"154"	"Parameters bottom-up 1135 10_06_2020 18_05.txt"	"bottom-up"
"155"	"Parameters bottom-up 1136 10_06_2020 18_05.txt"	"bottom-up"
"156"	"Parameters bottom-up 1137 10_06_2020 18_05.txt"	"bottom-up"
"157"	"Parameters bottom-up 1138 10_06_2020 18_05.txt"	"bottom-up"
"158"	"Parameters bottom-up 1139 10_06_2020 18_05.txt"	"bottom-up"
"159"	"Parameters bottom-up 114 10_06_2020 18_00.txt"	"bottom-up"
"160"	"Parameters bottom-up 1140 10_06_2020 18_05.txt"	"bottom-up"
"161"	"Parameters bottom-up 1141 10_06_2020 18_05.txt"	"bottom-up"
"162"	"Parameters bottom-up 1142 10_06_2020 18_05.txt"	"bottom-up"
"163"	"Parameters bottom-up 1143 10_06_2020 18_05.txt"	"bottom-up"
"164"	"Parameters bottom-up 1144 10_06_2020 18_05.txt"	"bottom-up"
"165"	"Parameters bottom-up 1145 10_06_2020 18_05.txt"	"bottom-up"
"166"	"Parameters bottom-up 1146 10_06_2020 18_05.txt"	"bottom-up"
"167"	"Parameters bottom-up 1147 10_06_2020 18_05.txt"	"bottom-up"
"168"	"Parameters bottom-up 1148 10_06_2020 18_05.txt"	"bottom-up"
"169"	"Parameters bottom-up 1149 10_06_2020 18_05.txt"	"bottom-up"
"170"	"Parameters bottom-up 115 10_06_2020 18_00.txt"	"bottom-up"
"171"	"Parameters bottom-up 1150 10_06_2020 18_05.txt"	"bottom-up"
"172"	"Parameters bottom-up 1151 10_06_2020 18_05.txt"	"bottom-up"
"173"	"Parameters bottom-up 1152 10_06_2020 18_05.txt"	"bottom-up"
"174"	"Parameters bottom-up 1153 10_06_2020 18_05.txt"	"bottom-up"
"175"	"Parameters bottom-up 1154 10_06_2020 18_05.txt"	"bottom-up"
"176"	"Parameters bottom-up 1155 10_06_2020 18_05.txt"	"bottom-up"
"177"	"Parameters bottom-up 1156 10_06_2020 18_05.txt"	"bottom-up"
"178"	"Parameters bottom-up 1157 10_06_2020 18_05.txt"	"bottom-up"
"179"	"Parameters bottom-up 1158 10_06_2020 18_05.txt"	"bottom-up"
"180"	"Parameters bottom-up 1159 10_06_2020 18_05.txt"	"bottom-up"
"181"	"Parameters bottom-up 116 10_06_2020 18_00.txt"	"bottom-up"
"182"	"Parameters bottom-up 1160 10_06_2020 18_05.txt"	"bottom-up"
"183"	"Parameters bottom-up 1161 10_06_2020 18_05.txt"	"bottom-up"
"184"	"Parameters bottom-up 1162 10_06_2020 18_05.txt"	"bottom-up"
"185"	"Parameters bottom-up 1163 10_06_2020 18_05.txt"	"bottom-up"
"186"	"Parameters bottom-up 1164 10_06_2020 18_05.txt"	"bottom-up"
"187"	"Parameters bottom-up 1165 10_06_2020 18_05.txt"	"bottom-up"
"188"	"Parameters bottom-up 1166 10_06_2020 18_05.txt"	"bottom-up"
"189"	"Parameters bottom-up 1167 10_06_2020 18_05.txt"	"bottom-up"
"190"	"Parameters bottom-up 1168 10_06_2020 18_05.txt"	"bottom-up"
"191"	"Parameters bottom-up 1169 10_06_2020 18_05.txt"	"bottom-up"
"192"	"Parameters bottom-up 117 10_06_2020 18_00.txt"	"bottom-up"
"193"	"Parameters bottom-up 1170 10_06_2020 18_05.txt"	"bottom-up"
"194"	"Parameters bottom-up 1171 10_06_2020 18_05.txt"	"bottom-up"
"195"	"Parameters bottom-up 1172 10_06_2020 18_05.txt"	"bottom-up"
"196"	"Parameters bottom-up 1173 10_06_2020 18_05.txt"	"bottom-up"
"197"	"Parameters bottom-up 1174 10_06_2020 18_05.txt"	"bottom-up"
"198"	"Parameters bottom-up 1175 10_06_2020 18_05.txt"	"bottom-up"
"199"	"Parameters bottom-up 1176 10_06_2020 18_05.txt"	"bottom-up"
"200"	"Parameters bottom-up 1177 10_06_2020 18_05.txt"	"bottom-up"
"201"	"Parameters bottom-up 1178 10_06_2020 18_05.txt"	"bottom-up"
"202"	"Parameters bottom-up 1179 10_06_2020 18_05.txt"	"bottom-up"
"203"	"Parameters bottom-up 118 10_06_2020 18_00.txt"	"bottom-up"
"204"	"Parameters bottom-up 1180 10_06_2020 18_05.txt"	"bottom-up"
"205"	"Parameters bottom-up 1181 10_06_2020 18_05.txt"	"bottom-up"
"206"	"Parameters bottom-up 1182 10_06_2020 18_05.txt"	"bottom-up"
"207"	"Parameters bottom-up 1183 10_06_2020 18_05.txt"	"bottom-up"
"208"	"Parameters bottom-up 1184 10_06_2020 18_05.txt"	"bottom-up"
"209"	"Parameters bottom-up 1185 10_06_2020 18_05.txt"	"bottom-up"
"210"	"Parameters bottom-up 1186 10_06_2020 18_05.txt"	"bottom-up"
"211"	"Parameters bottom-up 1187 10_06_2020 18_05.txt"	"bottom-up"
"212"	"Parameters bottom-up 1188 10_06_2020 18_05.txt"	"bottom-up"
"213"	"Parameters bottom-up 1189 10_06_2020 18_05.txt"	"bottom-up"
"214"	"Parameters bottom-up 119 10_06_2020 18_00.txt"	"bottom-up"
"215"	"Parameters bottom-up 1190 10_06_2020 18_05.txt"	"bottom-up"
"216"	"Parameters bottom-up 1191 10_06_2020 18_05.txt"	"bottom-up"
"217"	"Parameters bottom-up 1192 10_06_2020 18_05.txt"	"bottom-up"
"218"	"Parameters bottom-up 1193 10_06_2020 18_05.txt"	"bottom-up"
"219"	"Parameters bottom-up 1194 10_06_2020 18_05.txt"	"bottom-up"
"220"	"Parameters bottom-up 1195 10_06_2020 18_05.txt"	"bottom-up"
"221"	"Parameters bottom-up 1196 10_06_2020 18_05.txt"	"bottom-up"
"222"	"Parameters bottom-up 1197 10_06_2020 18_05.txt"	"bottom-up"
"223"	"Parameters bottom-up 1198 10_06_2020 18_05.txt"	"bottom-up"
"224"	"Parameters bottom-up 1199 10_06_2020 18_05.txt"	"bottom-up"
"225"	"Parameters bottom-up 12 10_06_2020 17_59.txt"	"bottom-up"
"226"	"Parameters bottom-up 120 10_06_2020 18_00.txt"	"bottom-up"
"227"	"Parameters bottom-up 1200 10_06_2020 18_05.txt"	"bottom-up"
"228"	"Parameters bottom-up 1201 10_06_2020 18_05.txt"	"bottom-up"
"229"	"Parameters bottom-up 1202 10_06_2020 18_05.txt"	"bottom-up"
"230"	"Parameters bottom-up 1203 10_06_2020 18_05.txt"	"bottom-up"
"231"	"Parameters bottom-up 1204 10_06_2020 18_05.txt"	"bottom-up"
"232"	"Parameters bottom-up 1205 10_06_2020 18_05.txt"	"bottom-up"
"233"	"Parameters bottom-up 1206 10_06_2020 18_05.txt"	"bottom-up"
"234"	"Parameters bottom-up 1207 10_06_2020 18_05.txt"	"bottom-up"
"235"	"Parameters bottom-up 1208 10_06_2020 18_05.txt"	"bottom-up"
"236"	"Parameters bottom-up 1209 10_06_2020 18_05.txt"	"bottom-up"
"237"	"Parameters bottom-up 121 10_06_2020 18_00.txt"	"bottom-up"
"238"	"Parameters bottom-up 1210 10_06_2020 18_05.txt"	"bottom-up"
"239"	"Parameters bottom-up 1211 10_06_2020 18_05.txt"	"bottom-up"
"240"	"Parameters bottom-up 1212 10_06_2020 18_05.txt"	"bottom-up"
"241"	"Parameters bottom-up 1213 10_06_2020 18_05.txt"	"bottom-up"
"242"	"Parameters bottom-up 1214 10_06_2020 18_05.txt"	"bottom-up"
"243"	"Parameters bottom-up 1215 10_06_2020 18_05.txt"	"bottom-up"
"244"	"Parameters bottom-up 1216 10_06_2020 18_05.txt"	"bottom-up"
"245"	"Parameters bottom-up 1217 10_06_2020 18_05.txt"	"bottom-up"
"246"	"Parameters bottom-up 1218 10_06_2020 18_05.txt"	"bottom-up"
"247"	"Parameters bottom-up 1219 10_06_2020 18_05.txt"	"bottom-up"
"248"	"Parameters bottom-up 122 10_06_2020 18_00.txt"	"bottom-up"
"249"	"Parameters bottom-up 1220 10_06_2020 18_05.txt"	"bottom-up"
"250"	"Parameters bottom-up 1221 10_06_2020 18_05.txt"	"bottom-up"
"251"	"Parameters bottom-up 1222 10_06_2020 18_05.txt"	"bottom-up"
"252"	"Parameters bottom-up 1223 10_06_2020 18_05.txt"	"bottom-up"
"253"	"Parameters bottom-up 1224 10_06_2020 18_05.txt"	"bottom-up"
"254"	"Parameters bottom-up 1225 10_06_2020 18_05.txt"	"bottom-up"
"255"	"Parameters bottom-up 1226 10_06_2020 18_05.txt"	"bottom-up"
"256"	"Parameters bottom-up 1227 10_06_2020 18_05.txt"	"bottom-up"
"257"	"Parameters bottom-up 1228 10_06_2020 18_05.txt"	"bottom-up"
"258"	"Parameters bottom-up 1229 10_06_2020 18_05.txt"	"bottom-up"
"259"	"Parameters bottom-up 123 10_06_2020 18_00.txt"	"bottom-up"
"260"	"Parameters bottom-up 1230 10_06_2020 18_05.txt"	"bottom-up"
"261"	"Parameters bottom-up 1231 10_06_2020 18_05.txt"	"bottom-up"
"262"	"Parameters bottom-up 1232 10_06_2020 18_05.txt"	"bottom-up"
"263"	"Parameters bottom-up 1233 10_06_2020 18_05.txt"	"bottom-up"
"264"	"Parameters bottom-up 1234 10_06_2020 18_05.txt"	"bottom-up"
"265"	"Parameters bottom-up 1235 10_06_2020 18_05.txt"	"bottom-up"
"266"	"Parameters bottom-up 1236 10_06_2020 18_05.txt"	"bottom-up"
"267"	"Parameters bottom-up 1237 10_06_2020 18_05.txt"	"bottom-up"
"268"	"Parameters bottom-up 1238 10_06_2020 18_05.txt"	"bottom-up"
"269"	"Parameters bottom-up 1239 10_06_2020 18_05.txt"	"bottom-up"
"270"	"Parameters bottom-up 124 10_06_2020 18_00.txt"	"bottom-up"
"271"	"Parameters bottom-up 1240 10_06_2020 18_05.txt"	"bottom-up"
"272"	"Parameters bottom-up 1241 10_06_2020 18_05.txt"	"bottom-up"
"273"	"Parameters bottom-up 1242 10_06_2020 18_05.txt"	"bottom-up"
"274"	"Parameters bottom-up 1243 10_06_2020 18_05.txt"	"bottom-up"
"275"	"Parameters bottom-up 1244 10_06_2020 18_05.txt"	"bottom-up"
"276"	"Parameters bottom-up 1245 10_06_2020 18_05.txt"	"bottom-up"
"277"	"Parameters bottom-up 1246 10_06_2020 18_05.txt"	"bottom-up"
"278"	"Parameters bottom-up 1247 10_06_2020 18_05.txt"	"bottom-up"
"279"	"Parameters bottom-up 1248 10_06_2020 18_05.txt"	"bottom-up"
"280"	"Parameters bottom-up 1249 10_06_2020 18_05.txt"	"bottom-up"
"281"	"Parameters bottom-up 125 10_06_2020 18_00.txt"	"bottom-up"
"282"	"Parameters bottom-up 1250 10_06_2020 18_05.txt"	"bottom-up"
"283"	"Parameters bottom-up 1251 10_06_2020 18_05.txt"	"bottom-up"
"284"	"Parameters bottom-up 1252 10_06_2020 18_05.txt"	"bottom-up"
"285"	"Parameters bottom-up 1253 10_06_2020 18_05.txt"	"bottom-up"
"286"	"Parameters bottom-up 1254 10_06_2020 18_05.txt"	"bottom-up"
"287"	"Parameters bottom-up 1255 10_06_2020 18_05.txt"	"bottom-up"
"288"	"Parameters bottom-up 1256 10_06_2020 18_05.txt"	"bottom-up"
"289"	"Parameters bottom-up 1257 10_06_2020 18_05.txt"	"bottom-up"
"290"	"Parameters bottom-up 1258 10_06_2020 18_05.txt"	"bottom-up"
"291"	"Parameters bottom-up 1259 10_06_2020 18_05.txt"	"bottom-up"
"292"	"Parameters bottom-up 126 10_06_2020 18_00.txt"	"bottom-up"
"293"	"Parameters bottom-up 1260 10_06_2020 18_05.txt"	"bottom-up"
"294"	"Parameters bottom-up 1261 10_06_2020 18_05.txt"	"bottom-up"
"295"	"Parameters bottom-up 1262 10_06_2020 18_05.txt"	"bottom-up"
"296"	"Parameters bottom-up 1263 10_06_2020 18_05.txt"	"bottom-up"
"297"	"Parameters bottom-up 1264 10_06_2020 18_05.txt"	"bottom-up"
"298"	"Parameters bottom-up 1265 10_06_2020 18_05.txt"	"bottom-up"
"299"	"Parameters bottom-up 1266 10_06_2020 18_05.txt"	"bottom-up"
"300"	"Parameters bottom-up 1267 10_06_2020 18_05.txt"	"bottom-up"
"301"	"Parameters bottom-up 1268 10_06_2020 18_05.txt"	"bottom-up"
"302"	"Parameters bottom-up 1269 10_06_2020 18_05.txt"	"bottom-up"
"303"	"Parameters bottom-up 127 10_06_2020 18_00.txt"	"bottom-up"
"304"	"Parameters bottom-up 1270 10_06_2020 18_05.txt"	"bottom-up"
"305"	"Parameters bottom-up 1271 10_06_2020 18_05.txt"	"bottom-up"
"306"	"Parameters bottom-up 1272 10_06_2020 18_05.txt"	"bottom-up"
"307"	"Parameters bottom-up 1273 10_06_2020 18_05.txt"	"bottom-up"
"308"	"Parameters bottom-up 1274 10_06_2020 18_05.txt"	"bottom-up"
"309"	"Parameters bottom-up 1275 10_06_2020 18_05.txt"	"bottom-up"
"310"	"Parameters bottom-up 1276 10_06_2020 18_05.txt"	"bottom-up"
"311"	"Parameters bottom-up 1277 10_06_2020 18_05.txt"	"bottom-up"
"312"	"Parameters bottom-up 1278 10_06_2020 18_05.txt"	"bottom-up"
"313"	"Parameters bottom-up 1279 10_06_2020 18_05.txt"	"bottom-up"
"314"	"Parameters bottom-up 128 10_06_2020 18_00.txt"	"bottom-up"
"315"	"Parameters bottom-up 1280 10_06_2020 18_05.txt"	"bottom-up"
"316"	"Parameters bottom-up 1281 10_06_2020 18_05.txt"	"bottom-up"
"317"	"Parameters bottom-up 1282 10_06_2020 18_05.txt"	"bottom-up"
"318"	"Parameters bottom-up 1283 10_06_2020 18_05.txt"	"bottom-up"
"319"	"Parameters bottom-up 1284 10_06_2020 18_05.txt"	"bottom-up"
"320"	"Parameters bottom-up 1285 10_06_2020 18_05.txt"	"bottom-up"
"321"	"Parameters bottom-up 1286 10_06_2020 18_05.txt"	"bottom-up"
"322"	"Parameters bottom-up 1287 10_06_2020 18_05.txt"	"bottom-up"
"323"	"Parameters bottom-up 1288 10_06_2020 18_06.txt"	"bottom-up"
"324"	"Parameters bottom-up 1289 10_06_2020 18_06.txt"	"bottom-up"
"325"	"Parameters bottom-up 129 10_06_2020 18_00.txt"	"bottom-up"
"326"	"Parameters bottom-up 1290 10_06_2020 18_06.txt"	"bottom-up"
"327"	"Parameters bottom-up 1291 10_06_2020 18_06.txt"	"bottom-up"
"328"	"Parameters bottom-up 1292 10_06_2020 18_06.txt"	"bottom-up"
"329"	"Parameters bottom-up 1293 10_06_2020 18_06.txt"	"bottom-up"
"330"	"Parameters bottom-up 1294 10_06_2020 18_06.txt"	"bottom-up"
"331"	"Parameters bottom-up 1295 10_06_2020 18_06.txt"	"bottom-up"
"332"	"Parameters bottom-up 1296 10_06_2020 18_06.txt"	"bottom-up"
"333"	"Parameters bottom-up 1297 10_06_2020 18_06.txt"	"bottom-up"
"334"	"Parameters bottom-up 1298 10_06_2020 18_06.txt"	"bottom-up"
"335"	"Parameters bottom-up 1299 10_06_2020 18_06.txt"	"bottom-up"
"336"	"Parameters bottom-up 13 10_06_2020 17_59.txt"	"bottom-up"
"337"	"Parameters bottom-up 130 10_06_2020 18_00.txt"	"bottom-up"
"338"	"Parameters bottom-up 1300 10_06_2020 18_06.txt"	"bottom-up"
"339"	"Parameters bottom-up 1301 10_06_2020 18_06.txt"	"bottom-up"
"340"	"Parameters bottom-up 1302 10_06_2020 18_06.txt"	"bottom-up"
"341"	"Parameters bottom-up 1303 10_06_2020 18_06.txt"	"bottom-up"
